streak,p_advance_this_call,p_reach,fair_multiplier,multiplier,ev_per_chip,chest_xp
1,0.769231,0.769231,1.300,1.23,0.9462,
2,0.738194,0.567842,1.761,1.67,0.9483,
3,0.738711,0.419471,2.384,2.26,0.9480,12
4,0.738954,0.309970,3.226,3.06,0.9485,
5,0.738931,0.229046,4.366,4.15,0.9505,25
6,0.738930,0.169249,5.908,5.60,0.9478,
7,0.738930,0.125063,7.996,7.60,0.9505,
8,0.738930,0.092413,10.821,10.30,0.9519,45
9,0.738930,0.068287,14.644,13.90,0.9492,
10,0.738930,0.050459,19.818,18.85,0.9512,70
11,0.738930,0.037286,26.820,25.50,0.9508,
12,0.738930,0.027552,36.296,34.50,0.9505,
13,0.738930,0.020359,49.119,46.70,0.9508,
14,0.738930,0.015044,66.473,63.25,0.9515,
15,0.738930,0.011116,89.959,85.00,0.9449,150
